"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name2","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","url","imported_at","match_type","match_value","prescore","score","local_id","current_taxon_id","current_name_string","global_id"
"Alopias vulpinus","Alopias vulpinus",2,"Wikispecies","b6c0156a-977c-5814-9e70-cf402c432321","Alopias vulpinus","","","","4022",0,"http://species.wikimedia.org/wiki/Alopias_vulpinus","2022-06-10T19:46:19Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Aluterus schoepfii","Aluterus schoepfii",4,"National Center for Biotechnology Information","dd2340d2-662a-512d-8ad5-708153ccd1ee","Aluterus schoepfii","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Eupercaria|Tetraodontiformes|Balistoidea|Monacanthidae|Aluterus|Aluterus schoepfii","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade|order|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489922|31022|31023|143346|303709|1182934","1182934",0,NA,"2022-06-13T12:51:49Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Ammodytes americanus","Ammodytes americanus",4,"National Center for Biotechnology Information","bb7313ff-5e65-527e-9a98-a93b1a49f9d7","Ammodytes americanus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Eupercaria|Uranoscopiformes|Ammodytidae|Ammodytes|Ammodytes americanus","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade|order|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489922|1489926|84619|84620|184215","184215",0,NA,"2022-06-13T12:15:58Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Antigonia capros","Antigonia capros",4,"National Center for Biotechnology Information","c3359da9-d059-5832-b0e9-dfc2499f9267","Antigonia capros","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Eupercaria|Caproiformes|Caproidae|Antigonia|Antigonia capros","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade|order|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489922|2024527|31098|143338|143339","143339",0,NA,"2022-06-13T12:14:04Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Apeltes quadracus","Apeltes quadracus",4,"National Center for Biotechnology Information","31c02486-ac19-5e64-b699-d4ced6111f85","Apeltes quadracus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Eupercaria|Perciformes|Cottioidei|Gasterosteales|Gasterosteidae|Apeltes|Apeltes quadracus","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade|order|suborder|infraorder|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489922|8111|8100|1490020|69291|240153|240154","240154",0,NA,"2022-06-13T12:18:32Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Bairdiella chrysoura","Bairdiella chrysoura",4,"National Center for Biotechnology Information","f4cc6159-f92a-57d0-9ced-0e3d617bdf63","Bairdiella chrysoura","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Eupercaria||Sciaenidae|Bairdiella|Bairdiella chrysoura","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade||family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489922|1489923|30870|278777|331523","331523",0,NA,"2022-06-13T12:22:28Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Balistes capriscus","Balistes capriscus",2,"Wikispecies","53934d2c-10db-5756-9d8e-51d09376e48d","Balistes capriscus","","","","225238",0,"http://species.wikimedia.org/wiki/Balistes_capriscus","2022-06-10T19:50:22Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Centropristis striata","Centropristis striata",2,"Wikispecies","f5b2e274-321d-59bb-954d-4626d2738725","Centropristis striata","","","","315570",0,"http://species.wikimedia.org/wiki/Centropristis_striata","2022-06-10T19:51:22Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Chaetodon ocellatus","Chaetodon ocellatus",2,"Wikispecies","79279a86-9513-535b-8fb3-14d04da2427d","Chaetodon ocellatus","","","","225645",0,"http://species.wikimedia.org/wiki/Chaetodon_ocellatus","2022-06-10T19:50:23Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Chilomycterus schoepfii","Chilomycterus schoepfii",4,"National Center for Biotechnology Information","1aaf9b3c-c7eb-5b1d-ad74-daf857fd40d7","Chilomycterus schoepfii","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Eupercaria|Tetraodontiformes|Tetraodontoidei|Diodontidae|Chilomycterus|Chilomycterus schoepfii","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade|order|suborder|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489922|31022|31028|31034|223140|223141","223141",0,NA,"2022-06-13T12:17:49Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Conger oceanicus","Conger oceanicus",2,"Wikispecies","69832342-c2fa-5f61-b162-61a51b0262a3","Conger oceanicus","","","","474950",0,"http://species.wikimedia.org/wiki/Conger_oceanicus","2022-06-10T19:53:16Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cyclopterus lumpus","Cyclopterus lumpus",2,"Wikispecies","a16e032d-8602-53e8-b263-1f4e61535601","Cyclopterus lumpus","","","","96252",0,"http://species.wikimedia.org/wiki/Cyclopterus_lumpus","2022-06-10T19:48:26Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cynoscion regalis","Cynoscion regalis",2,"Wikispecies","5b6430bd-50e3-5080-b112-d54a8c4b4c25","Cynoscion regalis","","","","328271",0,"http://species.wikimedia.org/wiki/Cynoscion_regalis","2022-06-10T19:51:28Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cyprinodon variegatus","Cyprinodon variegatus",2,"Wikispecies","c354344f-bde7-5f3c-a848-888068cb224e","Cyprinodon variegatus","","","","696879",0,"http://species.wikimedia.org/wiki/Cyprinodon_variegatus","2022-06-10T19:55:10Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Dipturus laevis","Dipturus laevis",4,"National Center for Biotechnology Information","e5d051b4-9711-5906-a4d3-4b2ca2c4bf4d","Dipturus laevis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Chondrichthyes|Elasmobranchii|Batoidea|Rajiformes|Rajidae|Dipturus|Dipturus laevis","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|class|subclass|superorder|order|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|7777|7778|117893|7858|30475|117858|1090675","1090675",0,NA,"2022-06-13T12:48:21Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Enchelyopus cimbrius","Enchelyopus cimbrius",2,"Wikispecies","ad9f5404-6270-50da-bc3c-cadf4328058d","Enchelyopus cimbrius","","","","304267",0,"http://species.wikimedia.org/wiki/Enchelyopus_cimbrius","2022-06-10T19:51:15Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Etropus microstomus","Etropus microstomus",4,"National Center for Biotechnology Information","a101a562-e60b-57b0-bedf-c498691c18a7","Etropus microstomus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Carangaria|Pleuronectiformes|Pleuronectoidei|Cyclopsettidae|Etropus|Etropus microstomus","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade|order|suborder|family|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489904|8252|30942|2823367|195610|195611","195611",0,NA,"2022-06-13T12:16:28Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Fundulus majalis","Fundulus majalis",2,"Wikispecies","49d8cb5d-7646-5054-b820-b2a2c648b597","Fundulus majalis","","","","790589",0,"http://species.wikimedia.org/wiki/Fundulus_majalis","2022-06-10T19:55:42Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Gymnelus viridis","Gymnelus viridis",4,"National Center for Biotechnology Information","7e6cdace-f2e7-5aec-ab86-963bdf99f007","Gymnelus viridis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Eupercaria|Perciformes|Cottioidei|Zoarcales|Zoarcidae|Gymnelinae|Gymnelus|Gymnelus viridis","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade|order|suborder|infraorder|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489922|8111|8100|8192|8193|561519|932716|932717","932717",0,NA,"2022-06-13T12:42:57Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Halichoeres radiatus","Halichoeres radiatus",2,"Wikispecies","21890044-f7d8-577c-a7af-ecf3c7bcb980","Halichoeres radiatus","","","","233451",0,"http://species.wikimedia.org/wiki/Halichoeres_radiatus","2022-06-10T19:50:31Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Halichoeres maculipinna","Halichoeres maculipinna",2,"Wikispecies","21109a0d-c87b-53ca-86f2-4fa274cbd82c","Halichoeres maculipinna","","","","233177",0,"http://species.wikimedia.org/wiki/Halichoeres_maculipinna","2022-06-10T19:50:30Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Hemitripterus americanus","Hemitripterus americanus",4,"National Center for Biotechnology Information","0971e567-2374-5862-8454-97089cd2ee2a","Hemitripterus americanus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Neoteleostei|Eurypterygia|Ctenosquamata|Acanthomorphata|Euacanthomorphacea|Percomorphaceae|Eupercaria|Perciformes|Cottioidei|Cottales|Agonidae|Hemitripterinae|Hemitripterus|Hemitripterus americanus","|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|clade|clade|clade|clade|clade|clade|order|suborder|infraorder|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|123365|123366|123367|123368|123369|1489872|1489922|8111|8100|1490021|30972|1545924|8093|8094","8094",0,NA,"2022-06-13T12:07:56Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Hippocampus erectus","Hippocampus erectus",2,"Wikispecies","d4820e6c-2409-538e-bf04-def543c8cd2e","Hippocampus erectus","","","","274124",0,"http://species.wikimedia.org/wiki/Hippocampus_erectus","2022-06-10T19:51:00Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
