"source_binomial","source","submitted_name","matched_name2","search_name"
"Acanthis flammea","HarrisonGoldspiel_LandVertsNortheast","Acanthis flammea","Acanthis flammea","Acanthis flammea"
"Acanthis hornemanni","HarrisonGoldspiel_LandVertsNortheast","Acanthis hornemanni","Acanthis hornemanni","Acanthis hornemanni"
"Accipiter cooperii","HarrisonGoldspiel_LandVertsNortheast","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii"
"Accipiter gentilis","HarrisonGoldspiel_LandVertsNortheast","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis"
"Accipiter striatus","HarrisonGoldspiel_LandVertsNortheast","Accipiter striatus","Accipiter striatus","Accipiter striatus"
"Acipenser brevirostrum","ReneeFrancolini_MaineFish","Acipenser brevirostrum","Acipenser brevirostrum","Acipenser brevirostrum"
"Acipenser oxyrhynchus","ReneeFrancolini_MaineFish","Acipenser oxyrhynchus","Acipenser oxyrhynchus","Acipenser oxyrhynchus"
"Acris blanchardi","HarrisonGoldspiel_LandVertsNortheast","Acris blanchardi","Acris blanchardi","Acris blanchardi"
"Acris crepitans","HarrisonGoldspiel_LandVertsNortheast","Acris crepitans","Acris crepitans","Acris crepitans"
"Actitis macularius","HarrisonGoldspiel_LandVertsNortheast","Actitis macularius","Actitis macularius","Actitis macularius"
"Aechmorphorus clarkii","HarrisonGoldspiel_LandVertsNortheast","Aechmorphorus clarkii","Aechmophorus clarkii","Aechmophorus clarkii"
"Aechmorphorus occidentalis","HarrisonGoldspiel_LandVertsNortheast","Aechmorphorus occidentalis","Aechmorphorus occidentalis","Aechmorphorus occidentalis"
"Aegolius acadicus","HarrisonGoldspiel_LandVertsNortheast","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus"
"Aegolius funereus","HarrisonGoldspiel_LandVertsNortheast","Aegolius funereus","Aegolius funereus","Aegolius funereus"
"Agelaius phoeniceus","HarrisonGoldspiel_LandVertsNortheast","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus"
"Agkistrodon contortrix","HarrisonGoldspiel_LandVertsNortheast","Agkistrodon contortrix","Agkistrodon contortrix","Agkistrodon contortrix"
"Agkistrodon piscivorus","HarrisonGoldspiel_LandVertsNortheast","Agkistrodon piscivorus","Agkistrodon piscivorus","Agkistrodon piscivorus"
"Aix galericulata","HarrisonGoldspiel_LandVertsNortheast","Aix galericulata","Aix galericulata","Aix galericulata"
"Aix sponsa","HarrisonGoldspiel_LandVertsNortheast","Aix sponsa","Aix sponsa","Aix sponsa"
"Alca torda","HarrisonGoldspiel_LandVertsNortheast","Alca torda","Alca torda","Alca torda"
"Alces alces","HarrisonGoldspiel_LandVertsNortheast","Alces alces","Alces alces","Alces alces"
"Alectis ciliaris","ReneeFrancolini_MaineFish","Alectis ciliaris","Alectis ciliaris","Alectis ciliaris"
"Alle alle","HarrisonGoldspiel_LandVertsNortheast","Alle alle","Alle alle","Alle alle"
"Alopias vulpinus","ReneeFrancolini_MaineFish","Alopias vulpinus","Alopias vulpinus","Alopias vulpinus"
"Alosa aestivalis","ReneeFrancolini_MaineFish","Alosa aestivalis","Alosa aestivalis","Alosa aestivalis"
"Alosa psuedoharengus","ReneeFrancolini_MaineFish","Alosa psuedoharengus","Alosa pseudoharengus","Alosa pseudoharengus"
"Alosa sapidissima","ReneeFrancolini_MaineFish","Alosa sapidissima","Alosa sapidissima","Alosa sapidissima"
"Aluterus schoepfii","ReneeFrancolini_MaineFish","Aluterus schoepfii","Aluterus schoepfii","Aluterus schoepfii"
"Ambystoma barbouri","HarrisonGoldspiel_LandVertsNortheast","Ambystoma barbouri","Ambystoma barbouri","Ambystoma barbouri"
"Ambystoma jeffersonianum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma jeffersonianum","Ambystoma jeffersonianum","Ambystoma jeffersonianum"
"Ambystoma jeffersonianum x laterale","HarrisonGoldspiel_LandVertsNortheast",NA,NA,"Ambystoma jeffersonianum x laterale"
"Ambystoma laterale","HarrisonGoldspiel_LandVertsNortheast","Ambystoma laterale","Ambystoma laterale","Ambystoma laterale"
"Ambystoma maculatum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma maculatum","Ambystoma maculatum","Ambystoma maculatum"
"Ambystoma opacum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma opacum","Ambystoma opacum","Ambystoma opacum"
"Ambystoma texanum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma texanum","Ambystoma texanum","Ambystoma texanum"
"Ambystoma tigrinum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma tigrinum","Ambystoma tigrinum","Ambystoma tigrinum"
"Ammodytes americanus","ReneeFrancolini_MaineFish","Ammodytes americanus","Ammodytes americanus","Ammodytes americanus"
"Ammogramus savannarum","HarrisonGoldspiel_LandVertsNortheast","Ammogramus savannarum","Ammodramus savannarum","Ammodramus savannarum"
"Ammospiza caudacuta","HarrisonGoldspiel_LandVertsNortheast","Ammospiza caudacuta","Ammospiza caudacuta","Ammospiza caudacuta"
"Ammospiza leconteii","HarrisonGoldspiel_LandVertsNortheast","Ammospiza leconteii","Ammospiza leconteii","Ammospiza leconteii"
"Ammospiza maritima","HarrisonGoldspiel_LandVertsNortheast","Ammospiza maritima","Ammospiza maritima","Ammospiza maritima"
"Ammospiza nelsoni","HarrisonGoldspiel_LandVertsNortheast","Ammospiza nelsoni","Ammospiza nelsoni","Ammospiza nelsoni"
"Anarhichas lupus","ReneeFrancolini_MaineFish","Anarhichas lupus","Anarhichas lupus","Anarhichas lupus"
"Anas acuta","HarrisonGoldspiel_LandVertsNortheast","Anas acuta","Anas acuta","Anas acuta"
"Anas carolinensis","HarrisonGoldspiel_LandVertsNortheast","Anas carolinensis","Anas carolinensis","Anas carolinensis"
"Anas crecca","HarrisonGoldspiel_LandVertsNortheast","Anas crecca","Anas crecca","Anas crecca"
"Anas platyrhynchos","HarrisonGoldspiel_LandVertsNortheast","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos"
"Anas rubripes","HarrisonGoldspiel_LandVertsNortheast","Anas rubripes","Anas rubripes","Anas rubripes"
"Anatidae affinis","HarrisonGoldspiel_LandVertsNortheast","Anatidae affinis","Anatidae","Anatidae"
"Anaxyrus americanus","HarrisonGoldspiel_LandVertsNortheast","Anaxyrus americanus","Anaxyrus americanus","Anaxyrus americanus"
"Anaxyrus fowleri","HarrisonGoldspiel_LandVertsNortheast","Anaxyrus fowleri","Anaxyrus fowleri","Anaxyrus fowleri"
"Aneides aneides","HarrisonGoldspiel_LandVertsNortheast","Aneides aneides","Aneides","Aneides"
"Anguilla rostrata","ReneeFrancolini_MaineFish","Anguilla rostrata","Anguilla rostrata","Anguilla rostrata"
"Anhinga anhinga","HarrisonGoldspiel_LandVertsNortheast","Anhinga anhinga","Anhinga anhinga","Anhinga anhinga"
"Anous stolidus","HarrisonGoldspiel_LandVertsNortheast","Anous stolidus","Anous stolidus","Anous stolidus"
"Anser albifrons","HarrisonGoldspiel_LandVertsNortheast","Anser albifrons","Anser albifrons","Anser albifrons"
"Anser brachyrhynchus","HarrisonGoldspiel_LandVertsNortheast","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus"
"Anser caerulescens","HarrisonGoldspiel_LandVertsNortheast","Anser caerulescens","Anser caerulescens","Anser caerulescens"
"Anser indicus","HarrisonGoldspiel_LandVertsNortheast","Anser indicus","Anser indicus","Anser indicus"
"Anser rossii","HarrisonGoldspiel_LandVertsNortheast","Anser rossii","Anser rossii","Anser rossii"
"Anthus rubescens","HarrisonGoldspiel_LandVertsNortheast","Anthus rubescens","Anthus rubescens","Anthus rubescens"
"Antigone canadensis","HarrisonGoldspiel_LandVertsNortheast","Antigone canadensis","Antigone canadensis","Antigone canadensis"
"Antigonia capros","ReneeFrancolini_MaineFish","Antigonia capros","Antigonia capros","Antigonia capros"
"Antrostomus carolinensis","HarrisonGoldspiel_LandVertsNortheast","Antrostomus carolinensis","Antrostomus carolinensis","Antrostomus carolinensis"
"Antrostomus vociferus","HarrisonGoldspiel_LandVertsNortheast","Antrostomus vociferus","Antrostomus vociferus","Antrostomus vociferus"
"Apalone mutica","HarrisonGoldspiel_LandVertsNortheast","Apalone mutica","Apalone mutica","Apalone mutica"
"Apalone spinifera","HarrisonGoldspiel_LandVertsNortheast","Apalone spinifera","Apalone spinifera","Apalone spinifera"
"Apeltes quadracus","ReneeFrancolini_MaineFish","Apeltes quadracus","Apeltes quadracus","Apeltes quadracus"
"Aquila chrysaetos","HarrisonGoldspiel_LandVertsNortheast","Aquila chrysaetos","Aquila chrysaetos","Aquila chrysaetos"
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri"
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri"
"Archilochus alexandri","HarrisonGoldspiel_LandVertsNortheast","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri"
