"source_binomial","source","submitted_name","matched_name2","search_name","n_mitogenome","n_target","ids_mitogenome","ids_target"
"Acanthis flammea","HarrisonGoldspiel_LandVertsNortheast","Acanthis flammea","Acanthis flammea","Acanthis flammea","2","0","836643924|828348920",""
"Acanthis hornemanni","HarrisonGoldspiel_LandVertsNortheast","Acanthis hornemanni","Acanthis hornemanni","Acanthis hornemanni","0","1","","9230598"
"Accipiter cooperii","HarrisonGoldspiel_LandVertsNortheast","Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","0","0","",""
"Accipiter gentilis","HarrisonGoldspiel_LandVertsNortheast","Accipiter gentilis","Accipiter gentilis","Accipiter gentilis","1","6","219524160","2280390606|2280390604|1139382397|223468820|576106911|84468573"
"Accipiter striatus","HarrisonGoldspiel_LandVertsNortheast","Accipiter striatus","Accipiter striatus","Accipiter striatus","0","0","",""
"Acipenser brevirostrum","ReneeFrancolini_MaineFish","Acipenser brevirostrum","Acipenser brevirostrum","Acipenser brevirostrum","12","5","2029857903|1115585638|1115585637|1115585636|1115585635|1115585634|1115585633|1115585632|1115585631|1115585630|1115585629|1128272555","725542183|725542118|15825229|84181684|1840165"
"Acipenser oxyrhynchus","ReneeFrancolini_MaineFish","Acipenser oxyrhynchus","Acipenser oxyrhynchus","Acipenser oxyrhynchus","7","9","1031876947|1031876933|1898139936|948298645|770591697|835387623|835387609","1036115965|725542186|725542185|725542121|725542120|2997443|15825237|84181688|84181687"
"Acris blanchardi","HarrisonGoldspiel_LandVertsNortheast","Acris blanchardi","Acris blanchardi","Acris blanchardi","0","1","","725542122"
"Acris crepitans","HarrisonGoldspiel_LandVertsNortheast","Acris crepitans","Acris crepitans","Acris crepitans","0","6","","1247275924|253971195|61697170|60735452|148524037|148524036"
"Actitis macularius","HarrisonGoldspiel_LandVertsNortheast","Actitis macularius","Actitis macularius","Actitis macularius","0","2","","109657945|62720732"
"Aechmorphorus clarkii","HarrisonGoldspiel_LandVertsNortheast","Aechmorphorus clarkii","Aechmophorus clarkii","Aechmophorus clarkii","0","0","",""
"Aechmorphorus occidentalis","HarrisonGoldspiel_LandVertsNortheast","Aechmorphorus occidentalis","Aechmorphorus occidentalis","Aechmorphorus occidentalis","0","0","",""
"Aegolius acadicus","HarrisonGoldspiel_LandVertsNortheast","Aegolius acadicus","Aegolius acadicus","Aegolius acadicus","0","2","","2213668|4099787"
"Aegolius funereus","HarrisonGoldspiel_LandVertsNortheast","Aegolius funereus","Aegolius funereus","Aegolius funereus","0","0","",""
"Agelaius phoeniceus","HarrisonGoldspiel_LandVertsNortheast","Agelaius phoeniceus","Agelaius phoeniceus","Agelaius phoeniceus","4","0","1910803838|699975345|408772615|407028008",""
"Agkistrodon contortrix","HarrisonGoldspiel_LandVertsNortheast","Agkistrodon contortrix","Agkistrodon contortrix","Agkistrodon contortrix","2","5","1237408834|1216867483","1715027292|683593|24078453|9587651|5771295"
"Agkistrodon piscivorus","HarrisonGoldspiel_LandVertsNortheast","Agkistrodon piscivorus","Agkistrodon piscivorus","Agkistrodon piscivorus","3","4","155970507|94537503|156878356","1057716013|24078454|9587652|5771297"
"Aix galericulata","HarrisonGoldspiel_LandVertsNortheast","Aix galericulata","Aix galericulata","Aix galericulata","3","2","553831960|608788124|599088153","557643614|37725780"
"Aix sponsa","HarrisonGoldspiel_LandVertsNortheast","Aix sponsa","Aix sponsa","Aix sponsa","0","2","","294999459|2213681"
"Alca torda","HarrisonGoldspiel_LandVertsNortheast","Alca torda","Alca torda","Alca torda","0","2","","190411496|21104299"
"Alces alces","HarrisonGoldspiel_LandVertsNortheast","Alces alces","Alces alces","Alces alces","51","8","1386810451|1386810437|1386810423|1386810409|1386810395|1386810381|1386810367|1386810353|1796202349|1796202335|1796202321|1796202307|1796202293|1796202279|1796202265|1796202251|1796202237|1796202223|1796202209|1796202195|1796202181|1796202167|1796202153|1796202139|1796202125|1796202111|1796202097|1796202083|1796202069|1796202055|1796202041|1796202027|1796202013|1796201999|1796201985|1796201971|1796201957|1796201943|1796201929|1796201915|1796201901|1796201887|1796201873|1796201859|1796201845|1796201831|1796201817|1796201803|347801127|763431256|470231815","1802444405|1802444404|1802444403|1802444402|1802444401|343207483|339896070|37956634"
"Alectis ciliaris","ReneeFrancolini_MaineFish","Alectis ciliaris","Alectis ciliaris","Alectis ciliaris","2","5","722490066|698854279","2309725933|2089854616|985566606|985566267|752502873"
"Alle alle","HarrisonGoldspiel_LandVertsNortheast","Alle alle","Alle alle","Alle alle","0","2","","148466771|21103996"
"Alopias vulpinus","ReneeFrancolini_MaineFish","Alopias vulpinus","Alopias vulpinus","Alopias vulpinus","3","5","1878348473|1871283199|1324620353","2282139812|985566885|985566884|56405162|37722030"
"Alosa aestivalis","ReneeFrancolini_MaineFish","Alosa aestivalis","Alosa aestivalis","Alosa aestivalis","4","2","2325478470|1337993438|1935001742|1347730035","184073888|117671442"
"Alosa psuedoharengus","ReneeFrancolini_MaineFish","Alosa psuedoharengus","Alosa pseudoharengus","Alosa pseudoharengus","7","5","2325478484|2325477966|2325477728|1337993116|1337993102|1337992850|148922572","1843471706|1843471705|117671445|148872524|148872523"
"Alosa sapidissima","ReneeFrancolini_MaineFish","Alosa sapidissima","Alosa sapidissima","Alosa sapidissima","7","8","2305125914|2305125889|1337993032|1337992864|1215348343|309321583|312233335","2052832699|2052832697|1515576496|1515576495|985566917|985566916|184073889|117671446"
"Aluterus schoepfii","ReneeFrancolini_MaineFish","Aluterus schoepfii","Aluterus schoepfii","Aluterus schoepfii","0","1","","1041013892"
"Ambystoma barbouri","HarrisonGoldspiel_LandVertsNortheast","Ambystoma barbouri","Ambystoma barbouri","Ambystoma barbouri","3","0","261888541|261888527|308745734",""
"Ambystoma jeffersonianum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma jeffersonianum","Ambystoma jeffersonianum","Ambystoma jeffersonianum","0","0","",""
"Ambystoma jeffersonianum x laterale","HarrisonGoldspiel_LandVertsNortheast",NA,NA,"Ambystoma jeffersonianum x laterale","0","0","",""
"Ambystoma laterale","HarrisonGoldspiel_LandVertsNortheast","Ambystoma laterale","Ambystoma laterale","Ambystoma laterale","2","0","51979827|53686292",""
"Ambystoma maculatum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma maculatum","Ambystoma maculatum","Ambystoma maculatum","0","1","","725542128"
"Ambystoma opacum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma opacum","Ambystoma opacum","Ambystoma opacum","0","0","",""
"Ambystoma texanum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma texanum","Ambystoma texanum","Ambystoma texanum","2","0","261888555|308745748",""
"Ambystoma tigrinum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma tigrinum","Ambystoma tigrinum","Ambystoma tigrinum","2","2","49066264|62161229","90296576|1041759"
"Ammodytes americanus","ReneeFrancolini_MaineFish","Ammodytes americanus","Ammodytes americanus","Ammodytes americanus","2","1","959122927|948550323","109158843"
"Ammogramus savannarum","HarrisonGoldspiel_LandVertsNortheast","Ammogramus savannarum","Ammodramus savannarum","Ammodramus savannarum","0","0","",""
