"search_name","source_binomial","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","unique_target_seqs_n","primer_matched_n","clamp_threshold1_n","clamp_threshold2_n","dup_accessions","dup_species","dup_species_n","n_target_all"
"Acanthis flammea","Acanthis flammea","HarrisonGoldspiel_LandVertsNortheast","Acanthis flammea","Acanthis flammea",2,0,"836643924|828348920","",1,1,1,1,"NC_027285.1|KR422696.1","Acanthis flammea","1",2
"Acanthis hornemanni","Acanthis hornemanni","HarrisonGoldspiel_LandVertsNortheast","Acanthis hornemanni","Acanthis hornemanni",0,1,"","9230598",1,1,1,1,"AF171659.1","Acanthis hornemanni","1",1
"Accipiter cooperii","Accipiter cooperii","HarrisonGoldspiel_LandVertsNortheast","Accipiter cooperii","Accipiter cooperii",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Accipiter gentilis","Accipiter gentilis","HarrisonGoldspiel_LandVertsNortheast","Accipiter gentilis","Accipiter gentilis",1,6,"219524160","2280390606|2280390604|1139382397|223468820|576106911|84468573",1,1,1,1,"NC_011818.1","Accipiter gentilis","1",7
"Accipiter striatus","Accipiter striatus","HarrisonGoldspiel_LandVertsNortheast","Accipiter striatus","Accipiter striatus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Acipenser brevirostrum","Acipenser brevirostrum","ReneeFrancolini_MaineFish","Acipenser brevirostrum","Acipenser brevirostrum",12,5,"2029857903|1115585638|1115585637|1115585636|1115585635|1115585634|1115585633|1115585632|1115585631|1115585630|1115585629|1128272555","725542183|725542118|15825229|84181684|1840165",8,4,4,4,"KM282389.1|KM273793.1|AF402886.1|AF125596.2|U86710.1|MK078263.1|KX817311.2|KX817310.2|KX817309.2|KX817308.2|KX817307.2|KX817306.2|KX817305.2|KX817304.2|KX817302.2|NC_032715.1|KX817303.2","Acipenser brevirostrum","1",17
"Acipenser oxyrhynchus","Acipenser oxyrhynchus","ReneeFrancolini_MaineFish","Acipenser oxyrhynchus","Acipenser oxyrhynchus",7,9,"1031876947|1031876933|1898139936|948298645|770591697|835387623|835387609","1036115965|725542186|725542185|725542121|725542120|2997443|15825237|84181688|84181687",2,2,2,2,"KU985074.1|KU985073.1|MT410938.1|NC_028290.1|KP013103.1|KP997217.1|KP997218.1","Acipenser oxyrhynchus","1",16
"Acris blanchardi","Acris blanchardi","HarrisonGoldspiel_LandVertsNortheast","Acris blanchardi","Acris blanchardi",0,1,"","725542122",1,NA,NA,NA,"KM273797.1","Acris blanchardi","1",1
"Acris crepitans","Acris crepitans","HarrisonGoldspiel_LandVertsNortheast","Acris crepitans","Acris crepitans",0,6,"","1247275924|253971195|61697170|60735452|148524037|148524036",NA,NA,NA,NA,"na","na","na",6
"Actitis macularius","Actitis macularius","HarrisonGoldspiel_LandVertsNortheast","Actitis macularius","Actitis macularius",0,2,"","109657945|62720732",2,1,1,1,"DQ674579.1|AY894146.1","Actitis macularius","1",2
"Aechmophorus clarkii","Aechmorphorus clarkii","HarrisonGoldspiel_LandVertsNortheast","Aechmorphorus clarkii","Aechmophorus clarkii",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Aechmorphorus occidentalis","Aechmorphorus occidentalis","HarrisonGoldspiel_LandVertsNortheast","Aechmorphorus occidentalis","Aechmorphorus occidentalis",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Aegolius acadicus","Aegolius acadicus","HarrisonGoldspiel_LandVertsNortheast","Aegolius acadicus","Aegolius acadicus",0,2,"","2213668|4099787",2,2,2,2,"U83759.1|U89227.1","Aegolius acadicus","1",2
"Aegolius funereus","Aegolius funereus","HarrisonGoldspiel_LandVertsNortheast","Aegolius funereus","Aegolius funereus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Agelaius phoeniceus","Agelaius phoeniceus","HarrisonGoldspiel_LandVertsNortheast","Agelaius phoeniceus","Agelaius phoeniceus",4,0,"1910803838|699975345|408772615|407028008","",3,3,3,3,"MN356439.1|KM078767.1|NC_018801.1|JX516062.1","Agelaius phoeniceus","1",4
"Agkistrodon contortrix","Agkistrodon contortrix","HarrisonGoldspiel_LandVertsNortheast","Agkistrodon contortrix","Agkistrodon contortrix",2,5,"1237408834|1216867483","1715027292|683593|24078453|9587651|5771295",6,2,2,2,"MK313326.1|Z46473.1|AF259224.1|AF156587.1|AF057229.1|NC_035638.1|KY747498.1","Agkistrodon contortrix","1",7
"Agkistrodon piscivorus","Agkistrodon piscivorus","HarrisonGoldspiel_LandVertsNortheast","Agkistrodon piscivorus","Agkistrodon piscivorus",3,4,"155970507|94537503|156878356","1057716013|24078454|9587652|5771297",6,2,2,2,"KX694610.1|AF259225.1|AF156588.1|AF057231.1|EF669477.1|DQ523161.1|NC_009768.1","Agkistrodon piscivorus","1",7
"Aix galericulata","Aix galericulata","HarrisonGoldspiel_LandVertsNortheast","Aix galericulata","Aix galericulata",3,2,"553831960|608788124|599088153","557643614|37725780",3,2,2,2,"KF469289.1|AY164515.1|NC_023969.1|KJ169568.1|KF437906.1","Aix galericulata|Anatidae","2",5
"Aix sponsa","Aix sponsa","HarrisonGoldspiel_LandVertsNortheast","Aix sponsa","Aix sponsa",0,2,"","294999459|2213681",2,2,2,2,"HM063543.1|U83733.1","Aix sponsa","1",2
