source_binomial,phylum,source,submitted_name,matched_name2,search_name
Abietinaria abietina,cnidaria,GoMA_census_fauna,Abietinaria abietina,Abietinaria abietina,Abietinaria abietina
Abietinaria filicula,cnidaria,GoMA_census_fauna,Abietinaria filicula,Abietinaria filicula,Abietinaria filicula
Abothrium gadi,platyhelminthes,GoMA_census_fauna,Abothrium gadi,Abothrium gadi,Abothrium gadi
Abra longicallis americana,mollusca,GoMA_census_fauna,Abra longicallis americana,Abra longicallis americana,Abra longicallis americana
Acanthephyra pelagica,arthropoda,GoMA_census_fauna,Acanthephyra pelagica,Acanthephyra pelagica,Acanthephyra pelagica
Acanthephyra purpurea,arthropoda,GoMA_census_fauna,Acanthephyra purpurea,Acanthephyra purpurea,Acanthephyra purpurea
Acanthodoris pilosa,mollusca,New England nudibranch,Acanthodoris pilosa,Acanthodoris pilosa,Acanthodoris pilosa
Acanthodoris subquadrata,mollusca,GoMA_census_fauna,Acanthodoris subquadrata,Acanthodoris subquadrata,Acanthodoris subquadrata
Acanthogorgia armata,cnidaria,GoMA_census_fauna,Acanthogorgia armata,Acanthogorgia armata,Acanthogorgia armata
Acanthohaustorius intermedius,arthropoda,GoMA_census_fauna,Acanthohaustorius intermedius,Acanthohaustorius intermedius,Acanthohaustorius intermedius
Acanthohaustorius millsi,arthropoda,GoMA_census_fauna,Acanthohaustorius millsi,Acanthohaustorius millsi,Acanthohaustorius millsi
Acanthohaustorius virginiana,arthropoda,GoMA_census_fauna,Acanthohaustorius virginiana,Acanthohaustorius virginiana,Acanthohaustorius virginiana
Acanthonotozoma serratum,arthropoda,GoMA_census_fauna,Acanthonotozoma serratum,Acanthonotozoma serratum,Acanthonotozoma serratum
Acartia bifilosa,arthropoda,GoMA_census_fauna,Acartia bifilosa,Acartia bifilosa,Acartia bifilosa
Acartia hudsonica,arthropoda,GoMA_census_fauna,Acartia hudsonica,Acartia hudsonica,Acartia hudsonica
Acartia longiremis,arthropoda,GoMA_census_fauna,Acartia longiremis,Acartia longiremis,Acartia longiremis
Acartia tonsa,arthropoda,GoMA_census_fauna,Acartia tonsa,Acartia tonsa,Acartia tonsa
Acaulis primarius,cnidaria,GoMA_census_fauna,Acaulis primarius,Acaulis primarius,Acaulis primarius
Achelia spinosa,arthropoda,GoMA_census_fauna,Achelia spinosa,Achelia spinosa,Achelia spinosa
Acirsa borealis,mollusca,GoMA_census_fauna,Acirsa borealis,Acirsa borealis,Acirsa borealis
Acirsa eschrichi,mollusca,GoMA_census_fauna,Acirsa eschrichi,Acirsa eschrichi,Acirsa eschrichi
Aclis striata,mollusca,GoMA_census_fauna,Aclis striata,Aclis striata,Aclis striata
Aclis verrilli,mollusca,GoMA_census_fauna,Aclis verrilli,Aclis verrilli,Aclis verrilli
Acmira catherinae,annelida,GoMA_census_fauna,Acmira catherinae,Acmira catherinae,Acmira catherinae
Acrocirrus leidyi,annelida,GoMA_census_fauna,Acrocirrus leidyi,Acrocirrus leidyi,Acrocirrus leidyi
Acteocina canaliculata,mollusca,GoMA_census_fauna,Acteocina canaliculata,Acteocina canaliculata,Acteocina canaliculata
Acteocina oryza,mollusca,GoMA_census_fauna,Acteocina oryza,Acteocina oryza,Acteocina oryza
Actinauge longicornis,cnidaria,GoMA_census_fauna,Actinauge longicornis,Actinauge longicornis,Actinauge longicornis
Actinauge rugosa,cnidaria,GoMA_census_fauna,Actinauge rugosa,Actinauge rugosa,Actinauge rugosa
Actinauge verrilli,cnidaria,GoMA_census_fauna,Actinauge verrilli,Actinauge verrilli,Actinauge verrilli
Actinia obtruncata,cnidaria,GoMA_census_fauna,Actinia obtruncata,Actinia obtruncata,Actinia obtruncata
Actinia sipunculoides,cnidaria,GoMA_census_fauna,Actinia sipunculoides,Actinia sipunculoides,Actinia sipunculoides
Actinostola callosa,cnidaria,GoMA_census_fauna,Actinostola callosa,Actinostola callosa,Actinostola callosa
Adalaria proxima,mollusca,GoMA_census_fauna,Adalaria proxima,Adalaria proxima,Adalaria proxima
Adamsia sociabilis,cnidaria,GoMA_census_fauna,Adamsia sociabilis,Adamsia sociabilis,Adamsia sociabilis
Admete couthouyi,mollusca,GoMA_census_fauna,Admete couthouyi,Admete couthouyi,Admete couthouyi
Admete viridula,mollusca,GoMA_census_fauna,Admete viridula,Admete viridula,Admete viridula
Adoncholaimus fuscus,nematoda,GoMA_census_fauna,Adoncholaimus fuscus,Adoncholaimus fuscus,Adoncholaimus fuscus
Aega psora,arthropoda,GoMA_census_fauna,Aega psora,Aega psora,Aega psora
Aeginella spinosa,arthropoda,GoMA_census_fauna,Aeginella spinosa,Aeginella spinosa,Aeginella spinosa
Aeginina longicornis,arthropoda,GoMA_census_fauna,Aeginina longicornis,Aeginina longicornis,Aeginina longicornis
Aeolidia papillosa,mollusca,New England nudibranch,Aeolidia papillosa,Aeolidia papillosa,Aeolidia papillosa
Aequipecten irradians,mollusca,GoM bivalvia species list,Aequipecten irradians,Aequipecten irradians,Aequipecten irradians
Aequorea aequorea,cnidaria,GoMA_census_fauna,Aequorea aequorea,Aequorea aequorea,Aequorea aequorea
Aequorea albida,cnidaria,GoMA_census_fauna,Aequorea albida,Aequorea albida,Aequorea albida
Aetea anguina,bryozoan,GoMA_census_fauna,Aetea anguina,Aetea anguina,Aetea anguina
Aetideus armatus,arthropoda,GoMA_census_fauna,Aetideus armatus,Aetideus armatus,Aetideus armatus
Aeverrillia armata,bryozoan,GoMA_census_fauna,Aeverrillia armata,Aeverrillia armata,Aeverrillia armata
Aeverrillia setigera,bryozoan,GoMA_census_fauna,Aeverrillia setigera,Aeverrillia setigera,Aeverrillia setigera
Agalma elegans,cnidaria,GoMA_census_fauna,Agalma elegans,Agalma elegans,Agalma elegans
Aglantha digitalis,cnidaria,GoMA_census_fauna,Aglantha digitalis,Aglantha digitalis,Aglantha digitalis
Aglaophamus circinata,annelida,GoMA_census_fauna,Aglaophamus circinata,Aglaophamus circinata,Aglaophamus circinata
Aglaophamus neotenus,annelida,GoMA_census_fauna,Aglaophamus neotenus,Aglaophamus neotenus,Aglaophamus neotenus
Agriopoma morrhuanum,mollusca,GoM bivalvia species list,Agriopoma morrhuanum,Agriopoma morrhuanum,Agriopoma morrhuanum
Alaurina composita,platyhelminthes,GoMA_census_fauna,Alaurina composita,Alaurina composita,Alaurina composita
Alcyonidium hirsutum,bryozoan,GoMA_census_fauna,Alcyonidium hirsutum,Alcyonidium hirsutum,Alcyonidium hirsutum
