species_binomial,phylum,source
Callinectes sapidus,arthropoda,New England crab species
Cancer bellianus,arthropoda,New England crab species
Cancer borealis,arthropoda,New England crab species
Cancer irroratus,arthropoda,New England crab species
Carcinus maenas,arthropoda,New England crab species
Cancer pagurus,arthropoda,New England crab species
Hemigrapsus sanguineus,arthropoda,New England crab species
Hyas araneus,arthropoda,New England crab species
Leptuca pugilator,arthropoda,New England crab species
Libinia emarginata,arthropoda,New England crab species
Ovalipes ocellatus,arthropoda,New England crab species
Sesarma reticulatum,arthropoda,New England crab species
Uca pugnax,arthropoda,New England crab species
Uca pugilator,arthropoda,New England crab species
Pandalus borealis,arthropoda,New England shrimp species
Aristaeomorpha foliacea,arthropoda,New England shrimp species
Cerataspis monstrosus Gray,arthropoda,New England shrimp species
Hemipenaeus carpenteri,arthropoda,New England shrimp species
Hepomadus tener,arthropoda,New England shrimp species
Heterocarpus ensifer,arthropoda,New England shrimp species
Pandalus montagui,arthropoda,New England shrimp species
Farfantepenaeus aztecus,arthropoda,New England shrimp species
Squilla empusa,arthropoda,New England shrimp species
Stenopus scutellatus,arthropoda,New England shrimp species
Acanthodoris pilosa,mollusca,New England nudibranch
Aeolidia papillosa,mollusca,New England nudibranch
Cuthona concinna,mollusca,New England nudibranch
Cuthona gymnota,mollusca,New England nudibranch
Dendronotus frondosus,mollusca,New England nudibranch
Diaphoreolis viridis,mollusca,New England nudibranch
Doris pseudoargus,mollusca,New England nudibranch
Doto coronata,mollusca,New England nudibranch
Doto formosa,mollusca,New England nudibranch
Doto fragilis,mollusca,New England nudibranch
Eubranchus pallidus,mollusca,New England nudibranch
Eubranchus tricolor,mollusca,New England nudibranch
Facelina bostoniensis,mollusca,New England nudibranch
Fiona pinnata,mollusca,New England nudibranch
Flabellina pellucida,mollusca,New England nudibranch
Flabellina salmonacea,mollusca,New England nudibranch
Flabellina verrilli (not formally named),mollusca,New England nudibranch
Flabellina/ Coryphella verrucosa,mollusca,New England nudibranch
Okenia ascidicola,mollusca,New England nudibranch
Onchidoris bilamellata,mollusca,New England nudibranch
Onchidoris muricata,mollusca,New England nudibranch
Palio dubia,mollusca,New England nudibranch
Tritonia plebeia,mollusca,New England nudibranch
Zelentia pustulata,mollusca,New England nudibranch
Arctica islandica,mollusca,GoM bivalvia species list
Aequipecten irradians,mollusca,GoM bivalvia species list
Agriopoma morrhuanum,mollusca,GoM bivalvia species list
Ameripitaa morrhuana,mollusca,GoM bivalvia species list
Ameritella agilis,mollusca,GoM bivalvia species list
Anadara transversa,mollusca,GoM bivalvia species list
Anomia aculeata,mollusca,GoM bivalvia species list
Anomia simplex,mollusca,GoM bivalvia species list
Anomia sp.,mollusca,GoM bivalvia species list
Anomia squamula,mollusca,GoM bivalvia species list
Argopecten irradians,mollusca,GoM bivalvia species list
Arvella faba,mollusca,GoM bivalvia species list
Astarte borealis,mollusca,GoM bivalvia species list
Astarte castanea,mollusca,GoM bivalvia species list
Astarte crenata,mollusca,GoM bivalvia species list
Astarte elliptica,mollusca,GoM bivalvia species list
Astarte montagui,mollusca,GoM bivalvia species list
Astarte quadrans,mollusca,GoM bivalvia species list
Astarte striata,mollusca,GoM bivalvia species list
Astarte subaequilatera,mollusca,GoM bivalvia species list
Astarte undata,mollusca,GoM bivalvia species list
Axinopsida orbiculata,mollusca,GoM bivalvia species list
Barnea truncata,mollusca,GoM bivalvia species list
Bathyarca frielei,mollusca,GoM bivalvia species list
Bathyarca pectunculoides,mollusca,GoM bivalvia species list
Brachidontes modiolus,mollusca,GoM bivalvia species list
Cerastoderma pinnulatum,mollusca,GoM bivalvia species list
Chlamys islandica,mollusca,GoM bivalvia species list
Ciliatocardium ciliatum,mollusca,GoM bivalvia species list
Ciliatocardium ciliatum ciliatum,mollusca,GoM bivalvia species list
Cochlodesma leanum,mollusca,GoM bivalvia species list
Crassostrea virginica,mollusca,GoM bivalvia species list
Crenella decussata,mollusca,GoM bivalvia species list
Crenella glandula,mollusca,GoM bivalvia species list
Cumingia sinuosa,mollusca,GoM bivalvia species list
Cuspidaria glacialis,mollusca,GoM bivalvia species list
Cuspidaria obesa,mollusca,GoM bivalvia species list
Cuspidaria pellucida,mollusca,GoM bivalvia species list
Cyclocardia borealis,mollusca,GoM bivalvia species list
Cyclocardia novangliae,mollusca,GoM bivalvia species list
Cyclocardia truncata,mollusca,GoM bivalvia species list
Cyrtodaria siliqua,mollusca,GoM bivalvia species list
Elliptio complanata,mollusca,GoM bivalvia species list
Ennucula delphinodonta,mollusca,GoM bivalvia species list
Ennucula tenuis,mollusca,GoM bivalvia species list
Ensis directus,mollusca,GoM bivalvia species list
Ensis leei,mollusca,GoM bivalvia species list
Gemma gemma,mollusca,GoM bivalvia species list
Geukensia demissa,mollusca,GoM bivalvia species list
Heteranomia squamula,mollusca,GoM bivalvia species list
Hiatella arctica,mollusca,GoM bivalvia species list
Hiatella striata,mollusca,GoM bivalvia species list
Kellia suborbicularis,mollusca,GoM bivalvia species list
Kurtiella planulata,mollusca,GoM bivalvia species list
Lampsilis radiata,mollusca,GoM bivalvia species list
Limatula subauriculata,mollusca,GoM bivalvia species list
Limecola balthica,mollusca,GoM bivalvia species list
Lucinoma sp.,mollusca,GoM bivalvia species list
Lyonsia arenosa,mollusca,GoM bivalvia species list
Lyonsia hyalina,mollusca,GoM bivalvia species list
Macoma balthica,mollusca,GoM bivalvia species list
Macoma calcarea,mollusca,GoM bivalvia species list
Macoma sp.,mollusca,GoM bivalvia species list
Macoploma tenta,mollusca,GoM bivalvia species list
Mactromeris polynema,mollusca,GoM bivalvia species list
Mactromeris polynyma,mollusca,GoM bivalvia species list
Megayoldia thraciaeformis,mollusca,GoM bivalvia species list
Mercenaria mercenaria,mollusca,GoM bivalvia species list
Mesodesma arctatum,mollusca,GoM bivalvia species list
Mesodesma deauratum,mollusca,GoM bivalvia species list
Modiolus modiolus,mollusca,GoM bivalvia species list
Montacuta sp.,mollusca,GoM bivalvia species list
Mulinia lateralis,mollusca,GoM bivalvia species list
Musculus discors,mollusca,GoM bivalvia species list
Musculus glacialis,mollusca,GoM bivalvia species list
Musculus niger,mollusca,GoM bivalvia species list
Mya arenaria,mollusca,GoM bivalvia species list
Mya truncata,mollusca,GoM bivalvia species list
Mysella planulata,mollusca,GoM bivalvia species list
Mytilus edulis,mollusca,GoM bivalvia species list
Mytilus trossulus,mollusca,GoM bivalvia species list
Nucula delphinodonta,mollusca,GoM bivalvia species list
Nucula proxima,mollusca,GoM bivalvia species list
Nucula tenuis,mollusca,GoM bivalvia species list
Nuculana minuta,mollusca,GoM bivalvia species list
Nuculana pernula,mollusca,GoM bivalvia species list
Nuculana tenuisulcata,mollusca,GoM bivalvia species list
Ostrea edulis,mollusca,GoM bivalvia species list
Pandora glacialis,mollusca,GoM bivalvia species list
Pandora gouldiana,mollusca,GoM bivalvia species list
Pandora inornata,mollusca,GoM bivalvia species list
Pandora trilineata,mollusca,GoM bivalvia species list
Panomya norvegica,mollusca,GoM bivalvia species list
Parvicardium pinnulatum,mollusca,GoM bivalvia species list
Periploma aleuticum,mollusca,GoM bivalvia species list
Periploma fragile,mollusca,GoM bivalvia species list
Periploma leanum,mollusca,GoM bivalvia species list
Periploma papyratium,mollusca,GoM bivalvia species list
Petrasma borealis,mollusca,GoM bivalvia species list
Petricolaria pholadiformis,mollusca,GoM bivalvia species list
Phlyctiderma verrilli,mollusca,GoM bivalvia species list
Pitar morrhuanus,mollusca,GoM bivalvia species list
Placopecten magellanicus,mollusca,GoM bivalvia species list
Portlandia arctica,mollusca,GoM bivalvia species list
Serripes groenlandicus,mollusca,GoM bivalvia species list
Siliqua costata,mollusca,GoM bivalvia species list
Solamen glandula,mollusca,GoM bivalvia species list
Solemya borealis,mollusca,GoM bivalvia species list
Solemya velum,mollusca,GoM bivalvia species list
Spisula solidissima,mollusca,GoM bivalvia species list
Tellina agilis,mollusca,GoM bivalvia species list
Teredo navalis,mollusca,GoM bivalvia species list
Thracia conradi,mollusca,GoM bivalvia species list
Thracia myopsis,mollusca,GoM bivalvia species list
Thracia septentrionalis,mollusca,GoM bivalvia species list
Thyasira equalis,mollusca,GoM bivalvia species list
