source,source_binomial
ReneeFrancolini_MaineFish,Alopias vulpinus
ReneeFrancolini_MaineFish,Aluterus schoepfii
ReneeFrancolini_MaineFish,Ammodytes americanus
ReneeFrancolini_MaineFish,Antigonia capros
ReneeFrancolini_MaineFish,Apeltes quadracus
ReneeFrancolini_MaineFish,Bairdiella chrysoura
ReneeFrancolini_MaineFish,Balistes capriscus
ReneeFrancolini_MaineFish,Centropristis striata
ReneeFrancolini_MaineFish,Chaetodon ocellatus
ReneeFrancolini_MaineFish,Chilomycterus schoepfii
ReneeFrancolini_MaineFish,Conger oceanicus
ReneeFrancolini_MaineFish,Cyclopterus lumpus
ReneeFrancolini_MaineFish,Cynoscion regalis
ReneeFrancolini_MaineFish,Cyprinodon variegatus
ReneeFrancolini_MaineFish,Dipturus laevis
ReneeFrancolini_MaineFish,Enchelyopus cimbrius
ReneeFrancolini_MaineFish,Etropus microstomus
ReneeFrancolini_MaineFish,Fundulus majalis
ReneeFrancolini_MaineFish,Gymnelus viridis
ReneeFrancolini_MaineFish,Halichoeres radiatus
ReneeFrancolini_MaineFish,Halichoeres maculipinna
ReneeFrancolini_MaineFish,Hemitripterus americanus
ReneeFrancolini_MaineFish,Hippocampus erectus
ReneeFrancolini_MaineFish,Hippoglossina oblonga
ReneeFrancolini_MaineFish,Hippoglossus hippoglossus
ReneeFrancolini_MaineFish,Isurus oxyrinchus
ReneeFrancolini_MaineFish,Lachnolaimus maximus
ReneeFrancolini_MaineFish,Lagocephalus laevigatus
ReneeFrancolini_MaineFish,Lamna nasus
ReneeFrancolini_MaineFish,Leiostomus xanthurus
ReneeFrancolini_MaineFish,Leptoclinus maculatus
ReneeFrancolini_MaineFish,Leucoraja ocellata
ReneeFrancolini_MaineFish,Leucoraja erinacea
ReneeFrancolini_MaineFish,Liparis inquilinus
ReneeFrancolini_MaineFish,Lophius americanus
ReneeFrancolini_MaineFish,Melanogrammus aeglefinus
ReneeFrancolini_MaineFish,Menidia beryllina
ReneeFrancolini_MaineFish,Menticirrhus saxatilis
ReneeFrancolini_MaineFish,Merluccius bilinearis
ReneeFrancolini_MaineFish,Microgadus tomcod
ReneeFrancolini_MaineFish,Micropogonias undulatus
ReneeFrancolini_MaineFish,Mola mola
ReneeFrancolini_MaineFish,Morone saxatilis
ReneeFrancolini_MaineFish,Morone americana
ReneeFrancolini_MaineFish,Mullus auratus
ReneeFrancolini_MaineFish,Myoxocephalus aenaeus
ReneeFrancolini_MaineFish,Myoxocephalus octodecemspinosus
ReneeFrancolini_MaineFish,Opsanus tau
ReneeFrancolini_MaineFish,Prionotus evolans
ReneeFrancolini_MaineFish,Prionotus carolinus
ReneeFrancolini_MaineFish,Pseudopleuronectes americanus
ReneeFrancolini_MaineFish,Scophthalmus aquosus
ReneeFrancolini_MaineFish,Sebastes fasciatus
ReneeFrancolini_MaineFish,Selene vomer
ReneeFrancolini_MaineFish,Selene setapinnis
ReneeFrancolini_MaineFish,Sphoeroides maculatus
ReneeFrancolini_MaineFish,Stenotomus chrysops
ReneeFrancolini_MaineFish,Stephanolepis hispidus
ReneeFrancolini_MaineFish,Syngnathus fuscus
ReneeFrancolini_MaineFish,Tautoga onitis
ReneeFrancolini_MaineFish,Tautogolabrus adspersus
ReneeFrancolini_MaineFish,Thalassoma bifasciatum
ReneeFrancolini_MaineFish,Trachurus lathami
ReneeFrancolini_MaineFish,Ulvaria subbifurcata
ReneeFrancolini_MaineFish,Urophycis regia
ReneeFrancolini_MaineFish,Urophycis chuss
