source,source_binomial
HarrisonGoldspiel_LandVertsNortheast,Acanthis flammea
HarrisonGoldspiel_LandVertsNortheast,Accipiter cooperii
HarrisonGoldspiel_LandVertsNortheast,Alca torda
HarrisonGoldspiel_LandVertsNortheast,Alces alces
HarrisonGoldspiel_LandVertsNortheast,Alle alle
HarrisonGoldspiel_LandVertsNortheast,Ambystoma jeffersonianum
HarrisonGoldspiel_LandVertsNortheast,Ambystoma laterale
HarrisonGoldspiel_LandVertsNortheast,Ambystoma maculatum
HarrisonGoldspiel_LandVertsNortheast,Lithobates vergatipes
HarrisonGoldspiel_LandVertsNortheast,Lontra canadensis
HarrisonGoldspiel_LandVertsNortheast,Loxia leucoptera
HarrisonGoldspiel_LandVertsNortheast,Lynx canadensis
HarrisonGoldspiel_LandVertsNortheast,Myotis lucifugus
HarrisonGoldspiel_LandVertsNortheast,Myotis septentrionalis
HarrisonGoldspiel_LandVertsNortheast,Myotis sodalis
HarrisonGoldspiel_LandVertsNortheast,Necturus maculosus
HarrisonGoldspiel_LandVertsNortheast,Neogale frenata
ReneeFrancolini_MaineFish,Hyporhamphus unifasciatus
ReneeFrancolini_MaineFish,Isurus oxyrinchus
ReneeFrancolini_MaineFish,Lachnolaimus maximus
ReneeFrancolini_MaineFish,Lactophrys trigonus
ReneeFrancolini_MaineFish,Lamna nasus
ReneeFrancolini_MaineFish,Leptoclinus maculatus
ReneeFrancolini_MaineFish,Leucoraja erinacea
ReneeFrancolini_MaineFish,Syngnathus leptorhynchus
ReneeFrancolini_MaineFish,Synodus foetens
ReneeFrancolini_MaineFish,Tautogolabrus adspersus
ReneeFrancolini_MaineFish,Thalassoma bifasciatum
ReneeFrancolini_MaineFish,Thunnus thynnus
ReneeFrancolini_MaineFish,Trachinotus falcatus
ReneeFrancolini_MaineFish,Trachurus lathami
ReneeFrancolini_MaineFish,Ulvaria subbifurcata
ReneeFrancolini_MaineFish,Urophycis tenuis
ReneeFrancolini_MaineFish,Zoarces americanus
