Species_Name,Source
Lithobates sylvaticus,27_Terrestria_Vertebrates_northeast_Goldspiel
Lithobates catesbeianus,27_Terrestria_Vertebrates_northeast_Goldspiel
Lithobates clamitans,27_Terrestria_Vertebrates_northeast_Goldspiel
Lithobates palustris,27_Terrestria_Vertebrates_northeast_Goldspiel
Lithobates pipiens,27_Terrestria_Vertebrates_northeast_Goldspiel
Lithobates kauffeldi,27_Terrestria_Vertebrates_northeast_Goldspiel
Lithobates sphenocephalus,27_Terrestria_Vertebrates_northeast_Goldspiel
Lithobates septentrionalis,27_Terrestria_Vertebrates_northeast_Goldspiel
Lithobates vergatipes,27_Terrestria_Vertebrates_northeast_Goldspiel
Pseudacris crucifer,27_Terrestria_Vertebrates_northeast_Goldspiel
Hyla versicolor,27_Terrestria_Vertebrates_northeast_Goldspiel
Hyla chrysoscelis,27_Terrestria_Vertebrates_northeast_Goldspiel
Hyla andersonii,27_Terrestria_Vertebrates_northeast_Goldspiel
Acris crepitans,27_Terrestria_Vertebrates_northeast_Goldspiel
Acris blanchardi,27_Terrestria_Vertebrates_northeast_Goldspiel
Pseudacris triseriata,27_Terrestria_Vertebrates_northeast_Goldspiel
Pseudacris brachyphona,27_Terrestria_Vertebrates_northeast_Goldspiel
Anaxyrus americanus,27_Terrestria_Vertebrates_northeast_Goldspiel
Anaxyrus fowleri,27_Terrestria_Vertebrates_northeast_Goldspiel
Scaphiopus holbrookii,27_Terrestria_Vertebrates_northeast_Goldspiel
Ambystoma maculatum,27_Terrestria_Vertebrates_northeast_Goldspiel
Ambystoma jeffersonianum,27_Terrestria_Vertebrates_northeast_Goldspiel
Ambystoma laterale,27_Terrestria_Vertebrates_northeast_Goldspiel
Ambystoma opacum,27_Terrestria_Vertebrates_northeast_Goldspiel
Ambystoma texanum,27_Terrestria_Vertebrates_northeast_Goldspiel
Ambystoma barbouri,27_Terrestria_Vertebrates_northeast_Goldspiel
Ambystoma tigrinum,27_Terrestria_Vertebrates_northeast_Goldspiel
Ambystoma jeffersonianum x laterale,27_Terrestria_Vertebrates_northeast_Goldspiel
Notopthalmus viridescens,27_Terrestria_Vertebrates_northeast_Goldspiel
Plethodon cinereus,27_Terrestria_Vertebrates_northeast_Goldspiel
Plethodon glutinosus,27_Terrestria_Vertebrates_northeast_Goldspiel
Plethodon hoffmani,27_Terrestria_Vertebrates_northeast_Goldspiel
Plethodon richmondi,27_Terrestria_Vertebrates_northeast_Goldspiel
Plethodon wehrlei,27_Terrestria_Vertebrates_northeast_Goldspiel
Pseudotriton ruber,27_Terrestria_Vertebrates_northeast_Goldspiel
Pseudotriton montanus,27_Terrestria_Vertebrates_northeast_Goldspiel
Hemidactylium scutatum,27_Terrestria_Vertebrates_northeast_Goldspiel
Aneides aneides,27_Terrestria_Vertebrates_northeast_Goldspiel
Desmognathus fuscus,27_Terrestria_Vertebrates_northeast_Goldspiel
Desmognathus monticola,27_Terrestria_Vertebrates_northeast_Goldspiel
Desmognathus ochrophaeus,27_Terrestria_Vertebrates_northeast_Goldspiel
Eurycea bislineata,27_Terrestria_Vertebrates_northeast_Goldspiel
Eurycea cirrigera,27_Terrestria_Vertebrates_northeast_Goldspiel
Eurycea longicauda,27_Terrestria_Vertebrates_northeast_Goldspiel
Eurycea lucifuga,27_Terrestria_Vertebrates_northeast_Goldspiel
Gyrinophilus porphyriticus,27_Terrestria_Vertebrates_northeast_Goldspiel
Cryptobranchus alleganiensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Necturus maculosus,27_Terrestria_Vertebrates_northeast_Goldspiel
Siren intermedia,27_Terrestria_Vertebrates_northeast_Goldspiel
Chrysemys picta,27_Terrestria_Vertebrates_northeast_Goldspiel
Clemmys guttata,27_Terrestria_Vertebrates_northeast_Goldspiel
Clemmys muhlenbergii,27_Terrestria_Vertebrates_northeast_Goldspiel
Emydoidiae blandingii,27_Terrestria_Vertebrates_northeast_Goldspiel
Glyptemys insculpta,27_Terrestria_Vertebrates_northeast_Goldspiel
Graptemys geographica,27_Terrestria_Vertebrates_northeast_Goldspiel
Graptemys ouachitensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Graptemys pseudogeographica,27_Terrestria_Vertebrates_northeast_Goldspiel
Malaclemys terrapin,27_Terrestria_Vertebrates_northeast_Goldspiel
Pseudemys concinna,27_Terrestria_Vertebrates_northeast_Goldspiel
Pseudemys rubiventris,27_Terrestria_Vertebrates_northeast_Goldspiel
Terrapene carolina,27_Terrestria_Vertebrates_northeast_Goldspiel
Terrapene ornata,27_Terrestria_Vertebrates_northeast_Goldspiel
Trachemys scripta,27_Terrestria_Vertebrates_northeast_Goldspiel
Chelydra serpentina,27_Terrestria_Vertebrates_northeast_Goldspiel
Macrochelys temminckii,27_Terrestria_Vertebrates_northeast_Goldspiel
Kinosternon subrubrum,27_Terrestria_Vertebrates_northeast_Goldspiel
Sternotherus odoratus,27_Terrestria_Vertebrates_northeast_Goldspiel
Apalone mutica,27_Terrestria_Vertebrates_northeast_Goldspiel
Apalone spinifera,27_Terrestria_Vertebrates_northeast_Goldspiel
Ophisaurus attenuatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Carphophis amoenus,27_Terrestria_Vertebrates_northeast_Goldspiel
Cemophora coccinea,27_Terrestria_Vertebrates_northeast_Goldspiel
Clonophis kirtlandii,27_Terrestria_Vertebrates_northeast_Goldspiel
Coluber constrictor,27_Terrestria_Vertebrates_northeast_Goldspiel
Diadophis punctatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Elaphe obsoleta,27_Terrestria_Vertebrates_northeast_Goldspiel
Farancia abacura,27_Terrestria_Vertebrates_northeast_Goldspiel
Haldea striatula,27_Terrestria_Vertebrates_northeast_Goldspiel
Heterodon platirhinos,27_Terrestria_Vertebrates_northeast_Goldspiel
Lampropeltis calligaster,27_Terrestria_Vertebrates_northeast_Goldspiel
Lampropeltis getula,27_Terrestria_Vertebrates_northeast_Goldspiel
Lampropeltis triangulum,27_Terrestria_Vertebrates_northeast_Goldspiel
Nerodia erythrogaster,27_Terrestria_Vertebrates_northeast_Goldspiel
Nerodia rhombifer,27_Terrestria_Vertebrates_northeast_Goldspiel
Nerodia sipedon,27_Terrestria_Vertebrates_northeast_Goldspiel
Opheodrys aestivus,27_Terrestria_Vertebrates_northeast_Goldspiel
Opheodrys vernalis,27_Terrestria_Vertebrates_northeast_Goldspiel
Pantherophis alleghaniensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Pantherophis spiloides,27_Terrestria_Vertebrates_northeast_Goldspiel
Pantherophis vulpinus,27_Terrestria_Vertebrates_northeast_Goldspiel
Pituophis catenifer,27_Terrestria_Vertebrates_northeast_Goldspiel
Regina septemvittata,27_Terrestria_Vertebrates_northeast_Goldspiel
Tantilla coronata,27_Terrestria_Vertebrates_northeast_Goldspiel
Thamnophis brachystoma,27_Terrestria_Vertebrates_northeast_Goldspiel
Thamnophis butleri,27_Terrestria_Vertebrates_northeast_Goldspiel
