"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name2","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","url","imported_at","match_type","match_value","prescore","score","local_id","global_id","current_taxon_id","current_name_string"
"Callinectes sapidus","Callinectes sapidus",2,"Wikispecies","627c9cf4-fb7a-5840-840e-ffc698446b5c","Callinectes sapidus","","","","159224",0,"http://species.wikimedia.org/wiki/Callinectes_sapidus","2023-03-01T19:33:56Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cancer bellianus","Cancer bellianus",4,"National Center for Biotechnology Information","f9b64108-62c7-55dd-a10a-ec3c1ecddb51","Cancer bellianus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Cancroidea|Cancridae|Cancer|Cancer bellianus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6752|116704|116706|29964|6753|6754|1129504","1129504",0,NA,"2023-02-24T00:12:18Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cancer borealis","Cancer borealis",4,"National Center for Biotechnology Information","be6769b5-fb00-52db-96a6-22201f9cf063","Cancer borealis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Cancroidea|Cancridae|Cancer|Cancer borealis","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6752|116704|116706|29964|6753|6754|39395","39395",0,NA,"2023-02-23T23:43:48Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cancer irroratus","Cancer irroratus",4,"National Center for Biotechnology Information","81e77c66-149b-570f-8d3d-8bca670ccbfe","Cancer irroratus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Cancroidea|Cancridae|Cancer|Cancer irroratus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6752|116704|116706|29964|6753|6754|6756","6756",0,NA,"2023-02-23T23:43:20Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Carcinus maenas","Carcinus maenas",2,"Wikispecies","61b6f2e0-be29-59c2-abdf-0725e1d76c27","Carcinus maenas","","","","376072",0,"http://species.wikimedia.org/wiki/Carcinus_maenas","2023-03-01T19:36:34Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cancer pagurus","Cancer pagurus",3,"Integrated Taxonomic Information SystemITIS","1728838c-2472-5a2f-ab15-20ca0d2027e5","Cancer pagurus","Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Cancroidea|Cancridae|Cancer|Cancer pagurus","Kingdom|Subkingdom|Infrakingdom|Superphylum|Phylum|Subphylum|Class|Subclass|Superorder|Order|Suborder|Infraorder|Superfamily|Family|Genus|Species","202423|914154|914155|914158|82696|83677|89787|89801|95495|95599|96105|98276|206958|98670|98671|98681","98681",0,NA,"2023-02-23T22:47:59Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Hemigrapsus sanguineus","Hemigrapsus sanguineus",4,"National Center for Biotechnology Information","cd903a7f-359a-599f-a2d0-e69035db91da","Hemigrapsus sanguineus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Thoracotremata|Grapsoidea|Varunidae|Hemigrapsus|Hemigrapsus sanguineus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6752|116704|116707|29962|72876|40175|40176","40176",0,NA,"2023-02-23T23:43:50Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Hyas araneus","Hyas araneus",4,"National Center for Biotechnology Information","eb9a39d0-6c49-56dc-ab90-65fbf8d52112","Hyas araneus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Majoidea|Majidae|Hyas|Hyas araneus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6752|116704|116706|6804|6805|361633|361634","361634",0,NA,"2023-02-23T23:53:16Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Leptuca pugilator","Leptuca pugilator",4,"National Center for Biotechnology Information","c8bc6396-5a40-56b5-9a07-2af568b2fd4e","Leptuca pugilator","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Thoracotremata|Ocypodoidea|Ocypodidae|Gelasiminae|Leptuca|Leptuca pugilator","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|||superfamily|family|subfamily|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6752|116704|116707|39829|6770|1293057|6771|6772","6772",0,NA,"2023-02-23T23:43:20Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Libinia emarginata","Libinia emarginata",4,"National Center for Biotechnology Information","46300019-65e8-57cd-a02e-5b9d66903f22","Libinia emarginata","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Majoidea|Majidae|Libinia|Libinia emarginata","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6752|116704|116706|6804|6805|6806|6807","6807",0,NA,"2023-02-23T23:43:20Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
