"source_binomial","phylum","source","submitted_name","matched_name2","search_name","n_mitogenome","n_target","ids_mitogenome","ids_target"
"Abietinaria abietina","cnidaria","GoMA_census_fauna","Abietinaria abietina","Abietinaria abietina","Abietinaria abietina","0","1","","1430074490"
"Abietinaria filicula","cnidaria","GoMA_census_fauna","Abietinaria filicula","Abietinaria filicula","Abietinaria filicula","0","0","",""
"Abothrium gadi","platyhelminthes","GoMA_census_fauna","Abothrium gadi","Abothrium gadi","Abothrium gadi","0","1","","910269122"
"Abra longicallis americana","mollusca","GoMA_census_fauna","Abra longicallis americana","Abra longicallis americana","Abra longicallis americana","0","0","",""
"Acanthephyra pelagica","arthropoda","GoMA_census_fauna","Acanthephyra pelagica","Acanthephyra pelagica","Acanthephyra pelagica","0","11","","367056801|367056799|367056797|733991831|733991829|733991827|733991824|758373552|584297826|164510058|113459277"
"Acanthephyra purpurea","arthropoda","GoMA_census_fauna","Acanthephyra purpurea","Acanthephyra purpurea","Acanthephyra purpurea","0","27","","1450095871|1450095863|1450095841|1450095839|1450095831|1450095825|1450095803|1450095775|1335032250|1335032248|1335032246|1335032244|1315691077|1315691075|270271554|270271552|270271550|733991820|733991817|733991815|733991813|733991811|733991808|733991806|733991804|374717666|374717664"
"Acanthodoris pilosa","mollusca","New England nudibranch","Acanthodoris pilosa","Acanthodoris pilosa","Acanthodoris pilosa","0","15","","1430075124|564733925|908309432|908309110|908309054|908309014|908308964|908308475|908308419|668730733|668730731|668730729|668730727|668730725|4741634"
"Acanthodoris subquadrata","mollusca","GoMA_census_fauna","Acanthodoris subquadrata","Acanthodoris subquadrata","Acanthodoris subquadrata","0","0","",""
"Acanthogorgia armata","cnidaria","GoMA_census_fauna","Acanthogorgia armata","Acanthogorgia armata","Acanthogorgia armata","0","1","","229814554"
"Acanthohaustorius intermedius","arthropoda","GoMA_census_fauna","Acanthohaustorius intermedius","Acanthohaustorius intermedius","Acanthohaustorius intermedius","0","1","","2425864181"
"Acanthohaustorius millsi","arthropoda","GoMA_census_fauna","Acanthohaustorius millsi","Acanthohaustorius millsi","Acanthohaustorius millsi","0","1","","2425643681"
"Acanthohaustorius virginiana","arthropoda","GoMA_census_fauna","Acanthohaustorius virginiana","Acanthohaustorius virginiana","Acanthohaustorius virginiana","0","0","",""
"Acanthonotozoma serratum","arthropoda","GoMA_census_fauna","Acanthonotozoma serratum","Acanthonotozoma serratum","Acanthonotozoma serratum","0","0","",""
"Acartia bifilosa","arthropoda","GoMA_census_fauna","Acartia bifilosa","Acartia bifilosa","Acartia bifilosa","0","16","","193792120|193792118|193792116|193792114|193792112|193792110|193792108|193792106|193792104|515420875|515420809|515420806|515420792|515420768|515420714|515420703"
"Acartia hudsonica","arthropoda","GoMA_census_fauna","Acartia hudsonica","Acartia hudsonica","Acartia hudsonica","0","55","","2551710653|2551710649|2551710637|2551710627|2551710625|2551710623|2551710621|2551710610|2551710598|2551710596|2551710588|2551710586|2551710584|2551710582|2551710580|2551710578|2551710576|2551710574|2551710572|2551710570|2551710568|2551710566|2551710564|2551710562|2551710560|2551710558|2551710556|2551710554|2551710552|2551710550|2551710548|2551710546|2551710544|2551710542|2551710540|2551710538|2551710536|2551710534|1465190448|1465190354|1465190276|1465190120|1465189980|1465189868|1465189806|1465189626|1465189466|162289471|295443098|295443096|529949595|529949593|529949591|529949589|156186214"
