"search_name","source_binomial","phylum","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","n_unique_seqs","dup_accessions","dup_species","dup_species_n","n_all_seqs"
"Abietinaria abietina","Abietinaria abietina","cnidaria","GoMA_census_fauna","Abietinaria abietina","Abietinaria abietina",0,1,"","1430074490",1,"MG934872.1","Abietinaria abietina","1",1
"Abietinaria filicula","Abietinaria filicula","cnidaria","GoMA_census_fauna","Abietinaria filicula","Abietinaria filicula",0,0,"","",NA,"na","na","na",0
"Abothrium gadi","Abothrium gadi","platyhelminthes","GoMA_census_fauna","Abothrium gadi","Abothrium gadi",0,1,"","910269122",1,"KR780779.1","Abothrium gadi","1",1
"Abra longicallis americana","Abra longicallis americana","mollusca","GoMA_census_fauna","Abra longicallis americana","Abra longicallis americana",0,0,"","",NA,"na","na","na",0
"Acanthephyra pelagica","Acanthephyra pelagica","arthropoda","GoMA_census_fauna","Acanthephyra pelagica","Acanthephyra pelagica",0,11,"","367056801|367056799|367056797|733991831|733991829|733991827|733991824|758373552|584297826|164510058|113459277",8,"JQ305963.1|JQ305962.1|JQ305961.1|KP076182.1|KP076181.1|KP076180.1|KP076179.1|KP759361.1|KF930998.1|AM087915.1|AM083324.1","Acanthephyra pelagica","1",11
"Acanthephyra purpurea","Acanthephyra purpurea","arthropoda","GoMA_census_fauna","Acanthephyra purpurea","Acanthephyra purpurea",0,27,"","1450095871|1450095863|1450095841|1450095839|1450095831|1450095825|1450095803|1450095775|1335032250|1335032248|1335032246|1335032244|1315691077|1315691075|270271554|270271552|270271550|733991820|733991817|733991815|733991813|733991811|733991808|733991806|733991804|374717666|374717664",19,"MH572631.1|MH572627.1|MH572616.1|MG674606.1|MG674604.1|KP076173.1|KP076172.1|KP076171.1|MH572615.1|MH572611.1|MH572608.1|MG674605.1|KP076174.1|MH572597.1|MH572583.1|MG674607.1|MF197245.1|MF197244.1|GU183789.1|GU183788.1|GU183787.1|KP076177.1|KP076176.1|KP076175.1|KP076170.1|JQ306128.1|JQ306127.1","Acanthephyra purpurea","1",27
"Acanthodoris pilosa","Acanthodoris pilosa","mollusca","New England nudibranch","Acanthodoris pilosa","Acanthodoris pilosa",0,15,"","1430075124|564733925|908309432|908309110|908309054|908309014|908308964|908308475|908308419|668730733|668730731|668730729|668730727|668730725|4741634",14,"MG935084.1|KF643432.1|KR084886.1|KR084697.1|KR084725.1|KR084677.1|KR084652.1|KR084407.1|KR084379.1|KM219666.1|KM219665.1|KM219664.1|KM219663.1|KM219662.1|AJ223254.1","Acanthodoris pilosa","1",15
"Acanthodoris subquadrata","Acanthodoris subquadrata","mollusca","GoMA_census_fauna","Acanthodoris subquadrata","Acanthodoris subquadrata",0,0,"","",NA,"na","na","na",0
"Acanthogorgia armata","Acanthogorgia armata","cnidaria","GoMA_census_fauna","Acanthogorgia armata","Acanthogorgia armata",0,1,"","229814554",1,"FJ264903.1","Acanthogorgia armata","1",1
"Acanthohaustorius intermedius","Acanthohaustorius intermedius","arthropoda","GoMA_census_fauna","Acanthohaustorius intermedius","Acanthohaustorius intermedius",0,1,"","2425864181",1,"OQ236219.1","Acanthohaustorius intermedius","1",1
"Acanthohaustorius millsi","Acanthohaustorius millsi","arthropoda","GoMA_census_fauna","Acanthohaustorius millsi","Acanthohaustorius millsi",0,1,"","2425643681",1,"OQ224982.1","Acanthohaustorius millsi","1",1
"Acanthohaustorius virginiana","Acanthohaustorius virginiana","arthropoda","GoMA_census_fauna","Acanthohaustorius virginiana","Acanthohaustorius virginiana",0,0,"","",NA,"na","na","na",0
"Acanthonotozoma serratum","Acanthonotozoma serratum","arthropoda","GoMA_census_fauna","Acanthonotozoma serratum","Acanthonotozoma serratum",0,0,"","",NA,"na","na","na",0
"Acartia bifilosa","Acartia bifilosa","arthropoda","GoMA_census_fauna","Acartia bifilosa","Acartia bifilosa",0,16,"","193792120|193792118|193792116|193792114|193792112|193792110|193792108|193792106|193792104|515420875|515420809|515420806|515420792|515420768|515420714|515420703",13,"EU599508.1|EU599507.1|EU599506.1|EU599505.1|EU599504.1|EU599503.1|EU599502.1|EU599501.1|EU599500.1|JX995254.1|JX995253.1|JX995251.1|JX995250.1|JX995249.1|JX995252.1|JX995248.1","Acartia bifilosa","1",16
